45.140.17.38 - - [20/Aug/2023:01:17:44 +0300] "GET /wp/wp-login.php HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:01:17:44 +0300] "GET /wp/wp-login.php HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:01:17:44 +0300] "GET /wordpress/wp-login.php HTTP/1.1" 404 220 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:01:17:44 +0300] "GET /wp-login.php HTTP/1.1" 404 210 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
85.117.62.178 - - [20/Aug/2023:01:20:15 +0300] "GET /images/tours/tour-new-year-5-days_500x300_1.jpg HTTP/1.1" 200 141498 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.203.76.78 - - [20/Aug/2023:01:44:34 +0300] "GET /api/index.php/v1/config/application?public=true HTTP/1.1" 403 93 "-" "python-requests/2.31.0"
85.208.98.53 - - [20/Aug/2023:02:13:49 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Apache-HttpClient/4.5.3 (Java/11.0.11)"
85.208.98.53 - - [20/Aug/2023:02:13:50 +0300] "GET /page/wedding-in-georgia.html HTTP/1.1" 200 25630 "-" "Mozilla/5.0 (compatible; SemrushBot-SI/0.97; +http://www.semrush.com/bot.html)"
40.77.167.237 - - [20/Aug/2023:02:30:38 +0300] "GET /en/page/en/en/page/excursion-to-armenia.html HTTP/1.1" 404 196 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
127.0.0.1 - - [20/Aug/2023:02:37:07 +0300] "GET /.well-known/acme-challenge/rrhenyghzm HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [20/Aug/2023:02:37:07 +0300] "GET /.well-known/acme-challenge/nquzshdavy HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
40.77.167.240 - - [20/Aug/2023:03:05:33 +0300] "GET /page/tour-around-tbilisi-5-days.html HTTP/1.1" 200 36360 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wp/wp-login.php HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wp-login.php HTTP/1.1" 404 210 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wordpress/wp-login.php HTTP/1.1" 404 220 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wordpress/wp-login.php HTTP/1.1" 404 220 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
